touchpoint_id,customer_id,channel,touchpoint_date,touchpoint_time,is_first_touch,is_last_touch,journey_position,journey_length,session_duration_sec,page_views,cost_usd,converted,revenue_usd,region,device,industry,product
17,CUST_1679091C,Display Ads,2024-03-18,15:08:10,True,False,1,4,322,2,4.6794,False,0,Europe,Desktop,Media,
18,CUST_1679091C,Paid Social,2024-04-01,10:47:22,False,False,2,4,158,2,5.9212,False,0,Europe,Desktop,Media,
19,CUST_1679091C,Paid Social,2024-04-22,20:18:04,False,False,3,4,67,1,5.0706,False,0,Europe,Desktop,Media,
20,CUST_1679091C,Affiliate,2024-04-24,22:12:42,False,True,4,4,20,5,1.4429,False,0,Europe,Desktop,Media,
21,CUST_8F14E45F,Display Ads,2024-03-12,12:05:21,True,False,1,4,83,2,2.4485,False,0,Europe,Mobile,Tech,
22,CUST_8F14E45F,Paid Social,2024-03-26,00:07:27,False,False,2,4,25,2,5.5869,False,0,Europe,Mobile,Tech,
23,CUST_8F14E45F,Video Ads,2024-04-09,02:06:24,False,False,3,4,94,6,7.1099,False,0,Europe,Mobile,Tech,
24,CUST_8F14E45F,Organic Search,2024-04-09,15:56:40,False,True,4,4,51,7,0.4846,False,0,Europe,Mobile,Tech,
25,CUST_C9F0F895,Paid Social,2024-01-04,15:48:35,True,False,1,4,122,6,3.09,False,0,APAC,Mobile,Healthcare,
26,CUST_C9F0F895,Paid Search,2024-01-05,10:10:39,False,False,2,4,124,2,9.6372,False,0,APAC,Mobile,Healthcare,
27,CUST_C9F0F895,Direct,2024-01-13,02:38:57,False,False,3,4,195,3,0.2719,False,0,APAC,Mobile,Healthcare,
28,CUST_C9F0F895,Display Ads,2024-01-26,02:12:00,False,True,4,4,236,2,2.6523,False,0,APAC,Mobile,Healthcare,
29,CUST_45C48CCE,Email,2025-02-28,23:06:36,True,False,1,8,363,2,1.0521,False,0,APAC,Mobile,Education,
30,CUST_45C48CCE,Organic Search,2025-03-10,18:19:54,False,False,2,8,168,15,1.3712,False,0,APAC,Mobile,Education,
31,CUST_45C48CCE,Email,2025-03-16,21:13:43,False,False,3,8,205,1,0.5543,False,0,APAC,Mobile,Education,
32,CUST_45C48CCE,Paid Search,2025-04-02,08:31:36,False,False,4,8,597,4,6.1034,False,0,APAC,Mobile,Education,
33,CUST_45C48CCE,Email,2025-04-03,15:52:59,False,False,5,8,23,5,0.4781,False,0,APAC,Mobile,Education,
34,CUST_45C48CCE,Organic Search,2025-04-04,07:52:43,False,False,6,8,84,13,1.1931,False,0,APAC,Mobile,Education,
35,CUST_45C48CCE,Paid Search,2025-04-04,23:50:10,False,False,7,8,65,11,2.5708,False,0,APAC,Mobile,Education,
36,CUST_45C48CCE,Paid Search,2025-04-12,18:49:40,False,True,8,8,52,4,5.3922,True,4800,APAC,Mobile,Education,Enterprise Plan
37,CUST_D3D94468,Paid Search,2024-09-14,08:03:45,True,False,1,6,275,14,6.1606,False,0,LATAM,Desktop,Healthcare,
38,CUST_D3D94468,Video Ads,2024-09-23,08:14:24,False,False,2,6,98,3,2.3018,False,0,LATAM,Desktop,Healthcare,
39,CUST_D3D94468,Affiliate,2024-10-10,16:32:19,False,False,3,6,81,1,1.9485,False,0,LATAM,Desktop,Healthcare,
40,CUST_D3D94468,Paid Search,2024-10-10,22:37:56,False,False,4,6,103,1,8.8356,False,0,LATAM,Desktop,Healthcare,
41,CUST_D3D94468,Affiliate,2024-10-15,15:02:23,False,False,5,6,292,3,3.3165,False,0,LATAM,Desktop,Healthcare,
42,CUST_D3D94468,Paid Social,2024-10-18,00:17:36,False,True,6,6,182,2,3.7782,True,4800,LATAM,Desktop,Healthcare,Enterprise Plan
43,CUST_6512BD43,Paid Search,2025-02-02,03:07:03,True,False,1,10,73,2,4.2945,False,0,MEA,Tablet,Education,
44,CUST_6512BD43,Paid Search,2025-02-03,05:13:06,False,False,2,10,26,5,2.5474,False,0,MEA,Tablet,Education,
45,CUST_6512BD43,Paid Search,2025-02-13,19:59:37,False,False,3,10,47,2,3.4968,False,0,MEA,Tablet,Education,
46,CUST_6512BD43,Direct,2025-02-21,22:26:03,False,False,4,10,157,5,0.2239,False,0,MEA,Tablet,Education,
47,CUST_6512BD43,Organic Search,2025-02-23,18:59:35,False,False,5,10,207,1,1.0893,False,0,MEA,Tablet,Education,
48,CUST_6512BD43,Paid Search,2025-02-26,04:41:23,False,False,6,10,21,3,11.1529,False,0,MEA,Tablet,Education,
49,CUST_6512BD43,Organic Search,2025-03-01,12:49:24,False,False,7,10,102,12,1.3614,False,0,MEA,Tablet,Education,
50,CUST_6512BD43,Organic Search,2025-03-05,09:49:20,False,False,8,10,374,7,0.9568,False,0,MEA,Tablet,Education,
51,CUST_6512BD43,Influencer,2025-03-11,14:48:05,False,False,9,10,470,10,5.1975,False,0,MEA,Tablet,Education,
52,CUST_6512BD43,Email,2025-03-11,17:12:45,False,True,10,10,82,1,0.8725,True,360,MEA,Tablet,Education,Starter Plan
53,CUST_C20AD4D7,Organic Search,2024-07-23,23:09:50,True,False,1,5,410,2,0.4635,False,0,North America,Mobile,Tech,
54,CUST_C20AD4D7,Organic Search,2024-07-27,12:20:07,False,False,2,5,80,1,1.0684,False,0,North America,Mobile,Tech,
55,CUST_C20AD4D7,Affiliate,2024-08-02,06:33:05,False,False,3,5,134,1,2.6113,False,0,North America,Mobile,Tech,
56,CUST_C20AD4D7,Direct,2024-08-05,02:38:05,False,False,4,5,286,4,0.156,False,0,North America,Mobile,Tech,
57,CUST_C20AD4D7,Paid Search,2024-08-05,12:59:56,False,True,5,5,142,5,3.2764,True,4800,North America,Mobile,Tech,Enterprise Plan
58,CUST_C51CE410,Paid Search,2024-10-13,23:26:48,True,True,1,1,0,2,2.8253,False,0,Europe,Desktop,Healthcare,
59,CUST_AAB32389,Paid Search,2024-11-16,06:00:52,True,False,1,4,160,10,4.4024,False,0,LATAM,Desktop,Education,
60,CUST_AAB32389,Paid Social,2024-11-17,16:47:20,False,False,2,4,457,16,7.2182,False,0,LATAM,Desktop,Education,
61,CUST_AAB32389,Paid Social,2024-11-24,09:47:51,False,False,3,4,175,3,1.7957,False,0,LATAM,Desktop,Education,
62,CUST_AAB32389,Display Ads,2024-11-27,11:09:24,False,True,4,4,52,16,5.5493,False,0,LATAM,Desktop,Education,
63,CUST_9BF31C7F,Organic Search,2025-04-05,04:41:11,True,False,1,11,304,3,0.417,False,0,Europe,Desktop,Manufacturing,
64,CUST_9BF31C7F,Organic Search,2025-04-06,00:27:05,False,False,2,11,390,5,0.5117,False,0,Europe,Desktop,Manufacturing,
65,CUST_9BF31C7F,Paid Social,2025-04-17,21:07:01,False,False,3,11,6,1,2.8489,False,0,Europe,Desktop,Manufacturing,
66,CUST_9BF31C7F,Paid Social,2025-04-28,04:10:08,False,False,4,11,35,2,5.9162,False,0,Europe,Desktop,Manufacturing,
67,CUST_9BF31C7F,Video Ads,2025-05-05,19:04:42,False,False,5,11,231,7,1.6814,False,0,Europe,Desktop,Manufacturing,
68,CUST_9BF31C7F,Paid Search,2025-05-10,12:39:13,False,False,6,11,24,10,9.8869,False,0,Europe,Desktop,Manufacturing,
69,CUST_9BF31C7F,Organic Search,2025-05-17,02:51:07,False,False,7,11,410,3,1.2297,False,0,Europe,Desktop,Manufacturing,
70,CUST_9BF31C7F,Email,2025-05-19,14:33:55,False,False,8,11,276,1,0.6106,False,0,Europe,Desktop,Manufacturing,
71,CUST_9BF31C7F,Email,2025-06-13,15:33:24,False,False,9,11,325,8,0.6852,False,0,Europe,Desktop,Manufacturing,
72,CUST_9BF31C7F,Paid Social,2025-06-19,18:19:19,False,False,10,11,215,1,8.3089,False,0,Europe,Desktop,Manufacturing,
73,CUST_9BF31C7F,Direct,2025-06-28,23:26:53,False,True,11,11,117,3,0.0601,True,360,Europe,Desktop,Manufacturing,Starter Plan
74,CUST_C74D97B0,Organic Search,2024-11-25,00:20:31,True,False,1,2,35,2,0.6015,False,0,North America,Desktop,Retail,
75,CUST_C74D97B0,Paid Search,2024-11-28,07:18:46,False,True,2,2,127,3,6.3131,False,0,North America,Desktop,Retail,
76,CUST_70EFDF2E,Display Ads,2024-07-24,22:15:05,True,False,1,2,478,2,5.9789,False,0,Europe,Desktop,Retail,
77,CUST_70EFDF2E,Video Ads,2024-07-31,05:30:46,False,True,2,2,33,1,2.0085,False,0,Europe,Desktop,Retail,
78,CUST_6F4922F4,Paid Search,2025-03-10,08:46:40,True,False,1,4,314,1,2.975,False,0,APAC,Desktop,Tech,
79,CUST_6F4922F4,Affiliate,2025-03-12,23:29:22,False,False,2,4,359,3,3.5874,False,0,APAC,Desktop,Tech,
80,CUST_6F4922F4,Organic Search,2025-03-24,04:46:11,False,False,3,4,173,7,1.3258,False,0,APAC,Desktop,Tech,
81,CUST_6F4922F4,Paid Social,2025-04-08,14:13:52,False,True,4,4,277,3,4.6969,False,0,APAC,Desktop,Tech,
82,CUST_1F0E3DAD,Organic Search,2025-04-20,08:31:53,True,False,1,4,24,1,0.5515,False,0,North America,Desktop,Tech,
83,CUST_1F0E3DAD,Paid Social,2025-04-22,19:38:15,False,False,2,4,381,1,1.8078,False,0,North America,Desktop,Tech,
84,CUST_1F0E3DAD,Display Ads,2025-04-24,07:01:29,False,False,3,4,370,1,4.9061,False,0,North America,Desktop,Tech,
85,CUST_1F0E3DAD,Display Ads,2025-05-07,09:45:16,False,True,4,4,590,8,3.4315,False,0,North America,Desktop,Tech,
86,CUST_98F13708,Display Ads,2024-01-30,07:01:50,True,False,1,2,59,4,2.8363,False,0,APAC,Mobile,Media,
87,CUST_98F13708,Organic Search,2024-02-23,08:54:08,False,True,2,2,31,7,0.4022,False,0,APAC,Mobile,Media,
88,CUST_3C59DC04,Organic Search,2024-05-18,07:34:58,True,False,1,11,139,3,1.1436,False,0,MEA,Desktop,Education,
89,CUST_3C59DC04,Paid Search,2024-05-18,23:51:05,False,False,2,11,58,3,5.1355,False,0,MEA,Desktop,Education,
90,CUST_3C59DC04,Email,2024-05-19,04:37:03,False,False,3,11,74,2,0.365,False,0,MEA,Desktop,Education,
91,CUST_3C59DC04,Display Ads,2024-05-19,07:03:45,False,False,4,11,12,8,4.1857,False,0,MEA,Desktop,Education,
92,CUST_3C59DC04,Email,2024-05-20,23:16:35,False,False,5,11,200,5,0.7221,False,0,MEA,Desktop,Education,
93,CUST_3C59DC04,Influencer,2024-05-21,19:32:55,False,False,6,11,114,13,2.2863,False,0,MEA,Desktop,Education,
94,CUST_3C59DC04,Direct,2024-05-22,10:59:40,False,False,7,11,628,6,0.2259,False,0,MEA,Desktop,Education,
95,CUST_3C59DC04,Paid Social,2024-05-30,23:08:48,False,False,8,11,12,4,2.9319,False,0,MEA,Desktop,Education,
96,CUST_3C59DC04,Paid Search,2024-06-06,10:10:57,False,False,9,11,57,7,5.7405,False,0,MEA,Desktop,Education,
97,CUST_3C59DC04,Paid Social,2024-06-06,15:50:43,False,False,10,11,68,8,4.2504,False,0,MEA,Desktop,Education,
98,CUST_3C59DC04,Display Ads,2024-06-10,16:13:50,False,True,11,11,79,8,5.4814,True,1200,MEA,Desktop,Education,Pro Plan
99,CUST_B6D767D2,Paid Search,2024-01-19,02:27:34,True,False,1,2,86,3,7.1752,False,0,LATAM,Desktop,Logistics,
100,CUST_B6D767D2,Organic Search,2024-02-04,10:51:05,False,True,2,2,77,3,1.6409,False,0,LATAM,Desktop,Logistics,
101,CUST_37693CFC,Direct,2025-02-01,14:12:33,True,False,1,6,429,3,0.1956,False,0,Europe,Desktop,Manufacturing,
102,CUST_37693CFC,Organic Search,2025-03-12,16:30:22,False,False,2,6,56,5,1.3778,False,0,Europe,Desktop,Manufacturing,
103,CUST_37693CFC,Paid Search,2025-03-14,23:31:04,False,False,3,6,369,1,2.376,False,0,Europe,Desktop,Manufacturing,
104,CUST_37693CFC,Affiliate,2025-03-16,06:58:47,False,False,4,6,8,2,2.9952,False,0,Europe,Desktop,Manufacturing,
105,CUST_37693CFC,Organic Search,2025-03-18,04:00:04,False,False,5,6,98,1,0.9963,False,0,Europe,Desktop,Manufacturing,
106,CUST_37693CFC,Paid Social,2025-03-21,17:21:08,False,True,6,6,234,5,4.0218,True,1200,Europe,Desktop,Manufacturing,Pro Plan
107,CUST_1FF1DE77,Paid Social,2024-06-06,14:00:08,True,False,1,3,35,5,4.5895,False,0,MEA,Desktop,Media,
108,CUST_1FF1DE77,Organic Search,2024-06-07,05:58:38,False,False,2,3,352,1,1.0868,False,0,MEA,Desktop,Media,
109,CUST_1FF1DE77,Display Ads,2024-06-09,17:28:15,False,True,3,3,201,1,5.1783,False,0,MEA,Desktop,Media,
110,CUST_8E296A06,Affiliate,2025-05-15,18:35:47,True,False,1,3,39,8,3.0767,False,0,Europe,Mobile,Logistics,
111,CUST_8E296A06,Video Ads,2025-05-19,05:47:01,False,False,2,3,244,5,2.7731,False,0,Europe,Mobile,Logistics,
112,CUST_8E296A06,Video Ads,2025-05-23,08:13:37,False,True,3,3,136,5,6.1654,False,0,Europe,Mobile,Logistics,
113,CUST_4E732CED,Organic Search,2025-03-04,22:52:59,True,False,1,7,33,9,0.9248,False,0,North America,Desktop,Retail,
114,CUST_4E732CED,Paid Social,2025-03-07,09:48:19,False,False,2,7,16,5,6.5783,False,0,North America,Desktop,Retail,
115,CUST_4E732CED,Email,2025-03-30,13:23:37,False,False,3,7,563,1,0.8033,False,0,North America,Desktop,Retail,
116,CUST_4E732CED,Organic Search,2025-04-04,22:17:34,False,False,4,7,473,11,0.6639,False,0,North America,Desktop,Retail,
117,CUST_4E732CED,Paid Search,2025-04-11,06:55:11,False,False,5,7,261,1,9.1666,False,0,North America,Desktop,Retail,
118,CUST_4E732CED,Organic Search,2025-04-14,16:45:52,False,False,6,7,47,1,1.0185,False,0,North America,Desktop,Retail,
119,CUST_4E732CED,Organic Search,2025-04-17,08:36:45,False,True,7,7,26,3,1.4137,True,4800,North America,Desktop,Retail,Enterprise Plan
120,CUST_02E74F10,Influencer,2024-09-22,03:38:50,True,False,1,3,68,3,1.7739,False,0,MEA,Desktop,Healthcare,
121,CUST_02E74F10,Influencer,2024-09-28,16:20:05,False,False,2,3,59,15,2.3616,False,0,MEA,Desktop,Healthcare,
122,CUST_02E74F10,Email,2024-10-24,08:52:05,False,True,3,3,237,1,0.3585,True,240,MEA,Desktop,Healthcare,Add-on Bundle
123,CUST_33E75FF0,Paid Social,2025-04-03,23:08:25,True,True,1,1,461,9,8.3921,False,0,LATAM,Mobile,Manufacturing,
124,CUST_6EA9AB1B,Affiliate,2025-04-29,20:58:37,True,False,1,3,561,11,1.5624,False,0,North America,Desktop,Healthcare,
125,CUST_6EA9AB1B,Affiliate,2025-05-01,03:28:24,False,False,2,3,336,3,2.2005,False,0,North America,Desktop,Healthcare,
126,CUST_6EA9AB1B,Paid Social,2025-05-01,13:36:48,False,True,3,3,30,3,4.6458,False,0,North America,Desktop,Healthcare,
127,CUST_34173CB3,Email,2024-08-11,01:05:45,True,False,1,2,89,4,0.6932,False,0,MEA,Mobile,Manufacturing,
128,CUST_34173CB3,Affiliate,2024-09-01,09:27:24,False,True,2,2,17,2,3.7913,False,0,MEA,Mobile,Manufacturing,
129,CUST_C16A5320,Direct,2024-12-15,01:22:24,True,False,1,3,393,3,0.0858,False,0,APAC,Desktop,Healthcare,
130,CUST_C16A5320,Display Ads,2024-12-15,14:19:52,False,False,2,3,158,5,5.6406,False,0,APAC,Desktop,Healthcare,
131,CUST_C16A5320,Paid Social,2024-12-27,11:37:11,False,True,3,3,193,3,7.2627,False,0,APAC,Desktop,Healthcare,
132,CUST_6364D3F0,Direct,2024-05-22,18:04:10,True,False,1,8,888,4,0.0927,False,0,LATAM,Desktop,Finance,
133,CUST_6364D3F0,Direct,2024-06-02,11:30:42,False,False,2,8,61,2,0.1348,False,0,LATAM,Desktop,Finance,
134,CUST_6364D3F0,Direct,2024-06-06,17:37:33,False,False,3,8,97,14,0.2031,False,0,LATAM,Desktop,Finance,
135,CUST_6364D3F0,Paid Search,2024-06-06,18:48:56,False,False,4,8,282,2,8.8196,False,0,LATAM,Desktop,Finance,
136,CUST_6364D3F0,Influencer,2024-06-19,18:34:09,False,False,5,8,120,2,1.3899,False,0,LATAM,Desktop,Finance,
137,CUST_6364D3F0,Influencer,2024-07-08,23:41:27,False,False,6,8,549,3,1.9088,False,0,LATAM,Desktop,Finance,
138,CUST_6364D3F0,Organic Search,2024-07-15,08:47:04,False,False,7,8,39,2,0.5663,False,0,LATAM,Desktop,Finance,
139,CUST_6364D3F0,Paid Search,2024-07-23,13:19:02,False,True,8,8,56,2,11.7991,True,1200,LATAM,Desktop,Finance,Pro Plan
140,CUST_182BE0C5,Paid Social,2024-11-28,05:11:40,True,False,1,4,45,3,7.819,False,0,Europe,Tablet,Healthcare,
141,CUST_182BE0C5,Paid Search,2024-11-28,15:27:38,False,False,2,4,372,6,6.8031,False,0,Europe,Tablet,Healthcare,
142,CUST_182BE0C5,Organic Search,2024-12-04,15:32:12,False,False,3,4,199,8,1.0174,False,0,Europe,Tablet,Healthcare,
143,CUST_182BE0C5,Direct,2024-12-08,20:59:57,False,True,4,4,92,10,0.0577,False,0,Europe,Tablet,Healthcare,
144,CUST_E369853D,Paid Search,2024-08-08,21:35:51,True,False,1,3,92,1,5.8254,False,0,APAC,Tablet,Tech,
145,CUST_E369853D,Video Ads,2024-09-03,15:02:05,False,False,2,3,251,7,4.5655,False,0,APAC,Tablet,Tech,
146,CUST_E369853D,Paid Search,2024-09-21,10:22:10,False,True,3,3,120,4,10.6665,False,0,APAC,Tablet,Tech,
147,CUST_1C383CD3,Paid Social,2025-02-05,00:11:39,True,False,1,11,19,8,6.1588,False,0,MEA,Mobile,Finance,
148,CUST_1C383CD3,Paid Search,2025-02-07,00:59:05,False,False,2,11,769,5,7.8612,False,0,MEA,Mobile,Finance,
149,CUST_1C383CD3,Organic Search,2025-02-23,18:18:20,False,False,3,11,289,2,1.4455,False,0,MEA,Mobile,Finance,
150,CUST_1C383CD3,Organic Search,2025-02-23,21:24:25,False,False,4,11,101,3,0.6795,False,0,MEA,Mobile,Finance,
151,CUST_1C383CD3,Paid Social,2025-03-13,02:00:04,False,False,5,11,404,4,3.3761,False,0,MEA,Mobile,Finance,
152,CUST_1C383CD3,Email,2025-03-17,06:26:12,False,False,6,11,298,4,1.092,False,0,MEA,Mobile,Finance,
153,CUST_1C383CD3,Video Ads,2025-03-24,17:49:23,False,False,7,11,126,9,7.3152,False,0,MEA,Mobile,Finance,
154,CUST_1C383CD3,Paid Social,2025-03-26,00:12:17,False,False,8,11,85,3,4.1894,False,0,MEA,Mobile,Finance,
155,CUST_1C383CD3,Influencer,2025-03-30,21:55:38,False,False,9,11,145,3,3.3635,False,0,MEA,Mobile,Finance,
156,CUST_1C383CD3,Affiliate,2025-04-01,07:32:39,False,False,10,11,471,4,1.7298,False,0,MEA,Mobile,Finance,
157,CUST_1C383CD3,Email,2025-04-01,19:46:00,False,True,11,11,189,6,0.5847,True,1200,MEA,Mobile,Finance,Pro Plan
158,CUST_19CA14E7,Organic Search,2025-03-01,10:27:04,True,False,1,2,107,4,0.8286,False,0,North America,Desktop,Healthcare,
159,CUST_19CA14E7,Display Ads,2025-03-27,10:54:32,False,True,2,2,30,9,2.2677,False,0,North America,Desktop,Healthcare,
160,CUST_A5BFC9E0,Influencer,2025-04-24,02:10:52,True,False,1,3,584,1,4.987,False,0,APAC,Desktop,Tech,
161,CUST_A5BFC9E0,Paid Search,2025-04-27,03:08:35,False,False,2,3,190,1,3.9827,False,0,APAC,Desktop,Tech,
162,CUST_A5BFC9E0,Video Ads,2025-05-09,19:05:48,False,True,3,3,44,3,1.9165,False,0,APAC,Desktop,Tech,
163,CUST_A5771BCE,Organic Search,2024-01-04,10:17:53,True,False,1,9,167,2,0.5683,False,0,North America,Mobile,Logistics,
164,CUST_A5771BCE,Paid Search,2024-01-08,17:05:13,False,False,2,9,68,1,7.8907,False,0,North America,Mobile,Logistics,
165,CUST_A5771BCE,Organic Search,2024-01-20,20:19:55,False,False,3,9,37,3,0.6306,False,0,North America,Mobile,Logistics,
166,CUST_A5771BCE,Paid Search,2024-01-26,06:20:19,False,False,4,9,55,1,8.5782,False,0,North America,Mobile,Logistics,
167,CUST_A5771BCE,Display Ads,2024-01-26,13:50:56,False,False,5,9,167,14,3.8447,False,0,North America,Mobile,Logistics,
168,CUST_A5771BCE,Email,2024-02-07,15:00:22,False,False,6,9,114,4,0.7462,False,0,North America,Mobile,Logistics,
169,CUST_A5771BCE,Paid Search,2024-02-09,23:13:41,False,False,7,9,317,2,11.1246,False,0,North America,Mobile,Logistics,
170,CUST_A5771BCE,Paid Search,2024-02-14,19:15:28,False,False,8,9,54,3,4.6018,False,0,North America,Mobile,Logistics,
171,CUST_A5771BCE,Direct,2024-02-16,16:21:32,False,True,9,9,125,1,0.2209,True,4800,North America,Mobile,Logistics,Enterprise Plan
172,CUST_D67D8AB4,Display Ads,2024-10-22,08:14:50,True,False,1,4,337,1,4.9636,False,0,MEA,Desktop,Retail,
173,CUST_D67D8AB4,Email,2024-11-20,21:04:32,False,False,2,4,53,10,0.2503,False,0,MEA,Desktop,Retail,
174,CUST_D67D8AB4,Affiliate,2024-11-25,06:35:25,False,False,3,4,206,5,3.3403,False,0,MEA,Desktop,Retail,
175,CUST_D67D8AB4,Video Ads,2024-11-28,08:11:12,False,True,4,4,514,8,5.9685,False,0,MEA,Desktop,Retail,
176,CUST_D645920E,Paid Social,2024-05-22,00:45:01,True,False,1,5,52,3,6.843,False,0,MEA,Desktop,Retail,
177,CUST_D645920E,Organic Search,2024-05-23,16:18:19,False,False,2,5,723,2,0.8478,False,0,MEA,Desktop,Retail,
178,CUST_D645920E,Organic Search,2024-06-15,15:44:23,False,False,3,5,16,4,0.44,False,0,MEA,Desktop,Retail,
179,CUST_D645920E,Organic Search,2024-06-24,03:18:14,False,False,4,5,97,3,1.1325,False,0,MEA,Desktop,Retail,
180,CUST_D645920E,Paid Search,2024-06-30,14:06:47,False,True,5,5,130,3,2.8705,True,240,MEA,Desktop,Retail,Add-on Bundle
181,CUST_3416A75F,Direct,2024-07-11,13:54:24,True,False,1,4,39,7,0.2218,False,0,MEA,Desktop,Media,
182,CUST_3416A75F,Email,2024-07-26,10:01:37,False,False,2,4,80,1,0.9619,False,0,MEA,Desktop,Media,
183,CUST_3416A75F,Video Ads,2024-07-30,07:14:56,False,False,3,4,242,3,3.8809,False,0,MEA,Desktop,Media,
184,CUST_3416A75F,Affiliate,2024-08-10,20:13:19,False,True,4,4,21,7,3.0696,False,0,MEA,Desktop,Media,
185,CUST_A1D0C6E8,Video Ads,2025-03-11,00:17:54,True,False,1,3,24,3,6.3675,False,0,MEA,Desktop,Tech,
186,CUST_A1D0C6E8,Organic Search,2025-03-20,11:25:22,False,False,2,3,52,2,0.5602,False,0,MEA,Desktop,Tech,
187,CUST_A1D0C6E8,Direct,2025-04-09,19:25:32,False,True,3,3,95,12,0.1792,False,0,MEA,Desktop,Tech,
188,CUST_17E62166,Paid Social,2024-07-27,04:59:13,True,True,1,1,58,6,2.4873,False,0,LATAM,Tablet,Education,
189,CUST_F7177163,Paid Search,2025-01-21,01:50:19,True,False,1,3,150,3,8.5836,False,0,MEA,Desktop,Logistics,
190,CUST_F7177163,Video Ads,2025-01-21,20:10:37,False,False,2,3,237,1,4.5578,False,0,MEA,Desktop,Logistics,
191,CUST_F7177163,Paid Social,2025-01-24,14:59:26,False,True,3,3,407,1,6.3252,False,0,MEA,Desktop,Logistics,
192,CUST_6C8349CC,Email,2024-01-14,10:27:51,True,False,1,8,74,1,0.6602,False,0,North America,Mobile,Education,
193,CUST_6C8349CC,Organic Search,2024-01-14,17:54:56,False,False,2,8,251,2,1.0695,False,0,North America,Mobile,Education,
194,CUST_6C8349CC,Organic Search,2024-01-15,09:18:33,False,False,3,8,132,1,0.6251,False,0,North America,Mobile,Education,
195,CUST_6C8349CC,Paid Search,2024-01-15,09:33:21,False,False,4,8,167,1,8.6569,False,0,North America,Mobile,Education,
196,CUST_6C8349CC,Paid Social,2024-01-15,22:38:46,False,False,5,8,174,2,1.9738,False,0,North America,Mobile,Education,
197,CUST_6C8349CC,Paid Social,2024-01-16,12:31:05,False,False,6,8,256,2,2.3177,False,0,North America,Mobile,Education,
198,CUST_6C8349CC,Paid Search,2024-01-16,20:54:07,False,False,7,8,48,4,6.7018,False,0,North America,Mobile,Education,
199,CUST_6C8349CC,Affiliate,2024-01-17,06:06:30,False,True,8,8,619,5,1.7157,True,1200,North America,Mobile,Education,Pro Plan
200,CUST_D9D4F495,Paid Social,2024-11-22,15:51:31,True,False,1,2,89,2,3.9887,False,0,Europe,Desktop,Tech,
201,CUST_D9D4F495,Display Ads,2024-11-24,05:49:24,False,True,2,2,95,6,2.9652,False,0,Europe,Desktop,Tech,
202,CUST_67C6A1E7,Video Ads,2024-01-12,15:53:02,True,False,1,4,9,4,7.1512,False,0,Europe,Desktop,Healthcare,
203,CUST_67C6A1E7,Paid Search,2024-01-23,19:16:11,False,False,2,4,49,9,10.4232,False,0,Europe,Desktop,Healthcare,
204,CUST_67C6A1E7,Paid Social,2024-01-24,03:31:58,False,False,3,4,237,11,1.8534,False,0,Europe,Desktop,Healthcare,
205,CUST_67C6A1E7,Email,2024-01-24,09:41:59,False,True,4,4,104,1,0.8064,True,4800,Europe,Desktop,Healthcare,Enterprise Plan
